"","LATITUDE","LONGITUDE","NewRegion","zone","FULLREEF_ID","REEF","REEF_SITE_NO","Date","Year","time","ACTO_score","ACBX_score","CBRN_score","MSE_score","COTS_exp","TCI3_COTS","TCI5_COTS","COVER.HC","ACBX","ACTO","MSE","CBRN","Cycl_impact","Cycl_exp","TCI3_cycl","TCI5_cycl","TCI3_dhw","TCI5_dhw","DHW_exp","CIacute","TCI3","TCI5","REEF_NAME","SHELF","Dist.coast","Dist.barr","Rel.Dist.shelf","sedWQI","newTCI","Mud","Chla","DINe","Sal","PAR","tot_discharge","Rivinf","DINriv","DHWpa","Cyclpa","COTSpa","LAT","LON","lagDHW","lagCOTS","lagCycl","lagCIacute"
"11",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2004-01-06,2004,20040106,0.248690595439102,0.5,0.114481086785226,0.312090391303391,0,0,0,33.5433862433862,4.71746031746032,9.99312169312169,9.34550264550264,6.48148148148148,0,0,0,0,1,1,0.45,0,1,1,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,1288622.5,262.218937652619,0.00089897203975579,"0","0","0",-16.03838333,145.8687667,3.24,0,0,1
"12",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2005-01-28,2005,20050128,0,0.42808985197695,0.116222078948451,0.117166364209995,0,0,0,36,7.4,8.7,8.9,6.9,0,0,0,0,1,1,2.22,0,1,1,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,4058226.43,825.799505462913,0.00283111003538116,"0","0","0",-16.03838333,145.8687667,0.45,0,0,0
"13",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2005-10-19,2005,20051019,0,0.42808985197695,0.116222078948451,0.117166364209995,0,0,0,27.5,3.9,5.4,8.1,6.1,0,0,0,0,0,1,0.15,0,0,1,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,4058226.43,825.799505462913,0.00283111003538116,"0","0","0",-16.03838333,145.8687667,2.22,0,0,0
"14",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2007-01-08,2007,20070108,0,0.542717325173544,0.116222078948451,0.124326508304359,0,0,0,24.2542713567839,3.91457286432161,5.00854271356784,8.82211055276382,4.40904522613065,0,0,0,0,0,1,0.14,0,0,1,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,8638544.31,1757.83824342139,0.00602644280918692,"0","0","0",-16.03838333,145.8687667,0.15,0,0,0
"15",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2008-04-27,2008,20080427,0.119257375454227,0.292717325173544,0.245280726192741,0.124326508304359,0,0,0,23,1.9,5.9,8.5,5.6,0,0,0,0,0,0,0.15,0,0,0,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,27027522.93,5499.77076303294,0.0188550079002411,"0","0","0",-16.03838333,145.8687667,0.14,0,0,0
"16",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2009-02-06,2009,20090206,0.265789880227816,0.364627473196594,0.377940571454445,0.165768677739145,0,0,0,35.6412060301508,7.61356783919598,8.10603015075377,10.3145728643216,5.90301507537688,0,0,0,0,0,0,0.15,0,0,0,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,29030667.81,5907.38627680666,0.0202524468233548,"0","0","0",-16.03838333,145.8687667,0.15,0,0,0
"17",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2009-11-21,2009,20091121,0.265789880227816,0.364627473196594,0.377940571454445,0.165768677739145,0,0,0,28.7,3.9,4.2,10.3,6.6,0,0,0,0,0,0,1.61,0,0,0,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,29030667.81,5907.38627680666,0.0202524468233548,"0","0","0",-16.03838333,145.8687667,0.15,0,0,0
"18",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2011-01-27,2011,20110127,0.354386506970421,0.333333333333333,0.50392076193926,0,0,0,0,26.5,6.5,4,9.4,4.2,0,0,1,1,0,0,1.19,1,1,1,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,1,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,31850937.65,8313.09472665,0.0285,"0","1","0",-16.03838333,145.8687667,1.61,0,0,0
"19",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2012-02-17,2012,20120217,0.293065009547178,0.5,0.497763848420309,0,0,0,0,12.3842105263158,0.2,0.4,9.34210526315789,1.32105263157895,0,0,1,2,0,0,1.65,1,1,2,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,1,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,14293968.09,0,0,"0","1","0",-16.03838333,145.8687667,1.19,0,0,1
"20",-1773511.22517502,378983.996819862,"central","OC","15099C","Agincourt1","Agincourt 11",2013-01-09,2013,20130109,0.567042481247799,0.450452560732789,0.460665068980194,0.549365344915613,0,0,0,15.8,0.2,0.8,11.2,1.5,0,0,1,1,0,0,0.16,0,1,1,"Agincourt Reefs (No 1) (15-099c)","O",0.3946,0.01499,0.963402426817061,0.0614,0,4.99707133968045e-05,0.0862815857092083,0.183786083168072,0,15.5808526202532,3047469.156,0,0,"0","0","0",-16.03838333,145.8687667,1.65,0,0,1
